city,county,place_fips,metro_status,population,property_tax,gen_sales_tax,total_taxes,tax_per_capita,lt_debt_os,st_debt_os,total_debt_os,debt_per_capita,sales_tax_rate,taxable_sales,taxable_sales_per_capita,business_outlets,sales_tax_alloc_2019,sales_tax_alloc_2023,salestax_growth_19_23_pct
JACKSONVILLE,Cherokee,37216,Non-Metro,14829,5260000.0,2870000.0,8470000.0,571.1780969721492,17234000.0,575000.0,17809000.0,1200.957583114168,1.5,463485960.0,31255.375278171152,5314.0,3700498.03,4814823.09,30.11284024383064
RIO GRANDE CITY,Starr,62168,Non-Metro,14439,4276000.0,4370000.0,9937000.0,688.2055544012743,24317000.0,0.0,24317000.0,1684.119398850336,2.0,419931157.0,29083.11912182284,4206.0,4141322.19,5835603.71,40.91160847352474
HEREFORD,Deaf Smith,33320,Non-Metro,14389,2590000.0,3441000.0,7887000.0,548.1270414900271,2061000.0,0.0,2061000.0,143.23441517826117,1.5,317765775.0,22083.937382722914,3030.0,2510138.89,3592260.76,43.11003962015821
GLENN HEIGHTS,Dallas,29840,Metro,14333,7328000.0,945000.0,8335000.0,581.5251517477151,14693000.0,1088000.0,15781000.0,1101.0256052466336,1.0,96467451.0,6730.443801018629,2072.0,723272.3,1145464.96,58.37257420199832
ANDREWS,Andrews,03216,Non-Metro,14331,2043000.0,6569000.0,9855000.0,687.6700858279255,12360000.0,0.0,12360000.0,862.465982834415,2.0,723096919.0,50456.83615937478,4624.0,8635064.42,10142609.96,17.458416830201262
HIDALGO,Hidalgo,33560,Metro,14305,2911000.0,928000.0,4138000.0,289.2694861936386,754000.0,0.0,754000.0,52.70884306186648,2.0,208772153.0,14594.34833974135,4216.0,2967382.22,5394616.77,81.79716565127897
BEEVILLE,Bee,07192,Non-Metro,14164,2719000.0,3738000.0,7361000.0,519.6978254730302,19755000.0,0.0,19755000.0,1394.7331262355267,1.5,404108070.0,28530.646003953687,3674.0,4061995.7,4350654.49,7.106329285380583
RED OAK,Ellis,61196,Metro,14098,8572000.0,6344000.0,17618000.0,1249.680805788055,55230000.0,0.0,55230000.0,3917.5769612711024,2.0,439323363.0,31162.105475954035,4362.0,4700709.35,7554400.39,60.70766830116822
LOCKHART,Caldwell,43240,Non-Metro,14069,5275000.0,2143000.0,8199000.0,582.770630464141,19417000.0,0.0,19417000.0,1380.1265192977469,1.5,367885979.0,26148.694221337693,4202.0,2659383.94,4071821.55,53.111458964439706
SEABROOK,Harris,66392,Metro,13879,9472000.0,4259000.0,15911000.0,1146.40824266878,26523000.0,0.0,26523000.0,1911.0166438504216,1.5,235044137.0,16935.23575185532,3376.0,2702508.5,3571813.24,32.16658671008806
MANVEL,Brazoria,46500,Metro,13867,5801000.0,2262000.0,8135000.0,586.6445518136584,44155000.0,0.0,44155000.0,3184.178264945554,1.5,192276481.0,13865.759068291627,3988.0,2518630.3,3777150.85,49.9684511061429
MELISSA,Collin,47496,Metro,13793,9113000.0,4643000.0,25037000.0,1815.1961139708549,112569000.0,0.0,112569000.0,8161.313709852824,1.5,446681724.0,32384.66787500906,3316.0,2850554.98,8827391.73,209.67274063943856
